horizon,channel_set,model,train_seconds,feature_seconds,predict_seconds,total_seconds,n_features,val_threshold,val_n,val_n_positive,val_n_negative,val_auroc,val_auprc,val_brier,val_accuracy,val_balanced_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn,test_n,test_n_positive,test_n_negative,test_threshold,test_auroc,test_auprc,test_brier,test_accuracy,test_balanced_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tp,test_tn,test_fp,test_fn
6,full,MLP_tabular,0.362,0.009,0.002,0.39,252,0.39358067512512207,276,170,106,0.7069922308546059,0.7629608319786017,0.2074264457342954,0.6956521739130435,0.6268590455049945,0.6885964912280702,0.9235294117647059,0.330188679245283,0.7889447236180904,157,35,71,13,276,170,106,0.39358067512512207,0.7223640399556049,0.8244439190095184,0.20775274164152122,0.6666666666666666,0.5980022197558269,0.672566371681416,0.8941176470588236,0.3018867924528302,0.7676767676767676,152,32,74,18
6,full,RandomForest_balanced,1.115,0.008,0.168,1.336,252,0.3975,276,170,106,0.7460321864594893,0.8329176753583518,0.19789282155797103,0.6847826086956522,0.612708102108768,0.6796536796536796,0.9235294117647059,0.3018867924528302,0.7830423940149626,157,32,74,13,276,170,106,0.3975,0.7416481687014428,0.8244081473937002,0.19849182518115943,0.6739130434782609,0.6127635960044395,0.6834862385321101,0.8764705882352941,0.3490566037735849,0.7680412371134021,149,37,69,21
6,full,HistGradBoost,0.281,0.013,0.002,0.312,252,0.29659972598869244,276,170,106,0.725527192008879,0.8050936564778843,0.20548655641151164,0.677536231884058,0.6014983351831299,0.6723404255319149,0.9294117647058824,0.27358490566037735,0.7802469135802469,158,29,77,12,276,170,106,0.29659972598869244,0.7307991120976693,0.8207606963542002,0.20932089479086938,0.6702898550724637,0.6062708102108768,0.6787330316742082,0.8823529411764706,0.330188679245283,0.7672634271099744,150,35,71,20
6,full,LogReg_L2_balanced,0.066,0.008,0.002,0.093,252,0.2420758195688274,276,170,106,0.696725860155383,0.7618907139088336,0.22450578458380105,0.6847826086956522,0.6109322974472808,0.6781115879828327,0.9294117647058824,0.29245283018867924,0.7841191066997518,158,31,75,12,276,170,106,0.2420758195688274,0.7378468368479468,0.8159981166360317,0.21129904797706853,0.6884057971014492,0.6156492785793563,0.6810344827586207,0.9294117647058824,0.3018867924528302,0.7860696517412935,158,32,74,12
6,full,ExtraTrees_balanced,0.799,0.016,0.154,1.0,252,0.3,276,170,106,0.7258601553829078,0.8037471785890653,0.20342798913043475,0.6666666666666666,0.5695893451720311,0.6511627906976745,0.9882352941176471,0.1509433962264151,0.7850467289719626,168,16,90,2,276,170,106,0.3,0.72161487236404,0.8135627954945287,0.2056840579710145,0.644927536231884,0.5519422863485016,0.6428571428571429,0.9529411764705882,0.1509433962264151,0.7677725118483413,162,16,90,8
6,full,Dummy_StratifiedFloor,0.0,0.008,0.001,0.026,252,0.0,276,170,106,0.4704217536071033,0.6024735694850708,0.5036231884057971,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0,276,170,106,0.0,0.478079911209767,0.6058598914702564,0.4963768115942029,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0
6,values,RandomForest_balanced,1.359,0.007,0.169,1.567,70,0.375,276,170,106,0.7229189789123196,0.8219848427518768,0.20385083786231883,0.6485507246376812,0.5566592674805771,0.6454183266932271,0.9529411764705882,0.16037735849056603,0.7695961995249406,162,17,89,8,276,170,106,0.375,0.6967536071032185,0.8029105365940822,0.2112620018115942,0.6123188405797102,0.5183684794672586,0.6254980079681275,0.9235294117647059,0.11320754716981132,0.7458432304038005,157,12,94,13
6,values,ExtraTrees_balanced,0.698,0.012,0.154,0.895,70,0.2975,276,170,106,0.717896781354051,0.8205529544782,0.2061194972826087,0.6268115942028986,0.5141509433962265,0.6227106227106227,1.0,0.02830188679245283,0.7674943566591422,170,3,103,0,276,170,106,0.2975,0.7160654827968922,0.7997382507083624,0.2070474411231884,0.6086956521739131,0.497669256381798,0.6148148148148148,0.9764705882352941,0.018867924528301886,0.7545454545454545,166,2,104,4
6,values,MLP_tabular,0.276,0.006,0.002,0.301,70,0.3756634294986725,276,170,106,0.6475027746947837,0.7322800144512231,0.22503632454836897,0.6413043478260869,0.5490011098779134,0.6414342629482072,0.9470588235294117,0.1509433962264151,0.7648456057007126,161,16,90,9,276,170,106,0.3756634294986725,0.6930632630410654,0.7926910097193769,0.21156844089306248,0.6159420289855072,0.5124306326304107,0.6221374045801527,0.9588235294117647,0.0660377358490566,0.7546296296296297,163,7,99,7
6,values,HistGradBoost,0.182,0.013,0.002,0.214,70,0.3101838280276904,276,170,106,0.704661487236404,0.8036791289291155,0.21421246522306056,0.6594202898550725,0.581465038845727,0.6610169491525424,0.9176470588235294,0.24528301886792453,0.7684729064039408,156,26,80,14,276,170,106,0.3101838280276904,0.7018867924528301,0.790055086321607,0.2163421496166546,0.6340579710144928,0.5484461709211986,0.6419753086419753,0.9176470588235294,0.1792452830188679,0.7554479418886199,156,19,87,14
6,values,LogReg_L2_balanced,0.059,0.012,0.002,0.097,70,0.29739177938313927,276,170,106,0.6317425083240843,0.7105577474894806,0.24322734347014188,0.6485507246376812,0.5637624861265261,0.6502057613168725,0.9294117647058824,0.19811320754716982,0.7651331719128329,158,21,85,12,276,170,106,0.29739177938313927,0.6670921198668147,0.7773352335131251,0.22906819655155017,0.6195652173913043,0.5331298557158712,0.6337448559670782,0.9058823529411765,0.16037735849056603,0.7457627118644068,154,17,89,16
6,values,Dummy_StratifiedFloor,0.006,0.007,0.001,0.056,70,0.0,276,170,106,0.4704217536071033,0.6024735694850708,0.5036231884057971,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0,276,170,106,0.0,0.478079911209767,0.6058598914702564,0.4963768115942029,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0
6,values_masks,ExtraTrees_balanced,0.692,0.014,0.153,0.889,140,0.3375,276,170,106,0.67838512763596,0.7847653733336257,0.21476055253623186,0.644927536231884,0.5430632630410654,0.6374045801526718,0.9823529411764705,0.10377358490566038,0.7731481481481481,167,11,95,3,276,170,106,0.3375,0.725416204217536,0.8139184682362399,0.20429802989130436,0.6594202898550725,0.5654827968923418,0.6496062992125984,0.9705882352941176,0.16037735849056603,0.7783018867924528,165,17,89,5
6,values_masks,RandomForest_balanced,1.182,0.007,0.165,1.394,140,0.3275,276,170,106,0.7220865704772476,0.8192892372376477,0.20453466938405795,0.6376811594202898,0.5318534961154273,0.631578947368421,0.9882352941176471,0.07547169811320754,0.7706422018348624,168,8,98,2,276,170,106,0.3275,0.712708102108768,0.8097099097945095,0.20797008605072465,0.6123188405797102,0.5112652608213096,0.6216216216216216,0.9470588235294117,0.07547169811320754,0.7505827505827506,161,8,98,9
6,values_masks,HistGradBoost,0.248,0.012,0.002,0.279,140,0.29977938703517293,276,170,106,0.7169811320754718,0.7979790340308108,0.21135315927774664,0.6702898550724637,0.5885127635960045,0.6639004149377593,0.9411764705882353,0.2358490566037736,0.7785888077858881,160,25,81,10,276,170,106,0.29977938703517293,0.7165926748057714,0.8017428195234549,0.21305520668950687,0.6666666666666666,0.5891231964483907,0.6652542372881356,0.9235294117647059,0.25471698113207547,0.7733990147783252,157,27,79,13
