epoch,train_loss,val_auroc,val_auprc,val_f1,val_recall,val_specificity,val_threshold,lr,epoch_seconds
1,0.48723326271353395,0.7394006659267482,0.8263611150370919,0.7934272300469484,0.9941176470588236,0.1792452830188679,0.16524940729141235,0.001,0.25077319145202637
2,0.4694947957181606,0.7462819089900111,0.8301883014762238,0.7934272300469484,0.9941176470588236,0.1792452830188679,0.23227013647556305,0.001,0.39226841926574707
3,0.46227517680786634,0.7693118756936737,0.8458864392517054,0.7980769230769231,0.9764705882352941,0.24528301886792453,0.18692901730537415,0.001,0.2389965057373047
4,0.456643320292302,0.7473362930077692,0.8319166323695117,0.7952380952380952,0.9823529411764705,0.2169811320754717,0.3247685432434082,0.001,0.23862957954406738
5,0.45892095554983264,0.7555493895671476,0.8385533542409018,0.7990074441687345,0.9470588235294117,0.32075471698113206,0.3426581919193268,0.001,0.23777389526367188
6,0.44933919206498163,0.7729744728079911,0.8462933333935334,0.7980769230769231,0.9764705882352941,0.24528301886792453,0.206493079662323,0.001,0.23776674270629883
7,0.4440809403687648,0.7790788013318536,0.8572237692240066,0.8,0.9882352941176471,0.22641509433962265,0.2886746823787689,0.001,0.23804759979248047
8,0.44276457280258474,0.7807436182019978,0.8592881083677235,0.8,0.9764705882352941,0.25471698113207547,0.29397693276405334,0.001,0.23786592483520508
9,0.43713262128451513,0.7948390677025527,0.8714895113792793,0.7990430622009569,0.9823529411764705,0.2358490566037736,0.2718033790588379,0.001,0.23850774765014648
10,0.43220263107293316,0.7716426193118756,0.8538692331390767,0.8058252427184466,0.9764705882352941,0.2830188679245283,0.17875102162361145,0.001,0.23832082748413086
11,0.427372306774533,0.7804106548279689,0.8544447858818637,0.8058252427184466,0.9764705882352941,0.2830188679245283,0.2653799057006836,0.001,0.2376103401184082
12,0.42094424864332153,0.7851831298557158,0.8603373329295053,0.8079800498753117,0.9529411764705882,0.3490566037735849,0.23339249193668365,0.001,0.2373523712158203
13,0.42325333351450983,0.8043285238623752,0.873442867697579,0.806930693069307,0.9588235294117647,0.330188679245283,0.20807494223117828,0.001,0.23744487762451172
14,0.41047269107262835,0.7820754716981132,0.8534661941226966,0.8071979434447301,0.9235294117647059,0.41509433962264153,0.33796805143356323,0.001,0.2381455898284912
15,0.4132531327320064,0.7870699223085461,0.8614054424437481,0.7979002624671916,0.8941176470588236,0.44339622641509435,0.2819805145263672,0.001,0.23794078826904297
16,0.4012357300641585,0.7815205327413985,0.8603854354327642,0.803030303030303,0.9352941176470588,0.36792452830188677,0.327945351600647,0.001,0.23750066757202148
17,0.3983780069956704,0.7699778024417314,0.8417376226508937,0.8,0.9058823529411765,0.42452830188679247,0.3935524523258209,0.001,0.23809289932250977
18,0.38910633951357976,0.8055493895671476,0.8736740536277415,0.8150134048257373,0.8941176470588236,0.5188679245283019,0.2913382351398468,0.001,0.23780274391174316
19,0.368522688442347,0.7790233074361821,0.856314911291627,0.8142493638676844,0.9411764705882353,0.4056603773584906,0.19814379513263702,0.001,0.23821043968200684
20,0.3521127053669521,0.7746392896781353,0.8548250249764558,0.7990196078431373,0.9588235294117647,0.29245283018867924,0.16604021191596985,0.001,0.2380986213684082
21,0.3465203165602522,0.7855715871254162,0.8648910894774129,0.8108108108108109,0.9705882352941176,0.32075471698113206,0.1283191591501236,0.001,0.23766160011291504
22,0.3363826957419346,0.7701997780244173,0.8483602052177082,0.7969543147208121,0.9235294117647059,0.36792452830188677,0.29056018590927124,0.001,0.23722100257873535
23,0.34564481770235395,0.7864039955604882,0.8529469058353534,0.8051282051282052,0.9235294117647059,0.4056603773584906,0.229449063539505,0.001,0.23759222030639648
24,0.31688382214699745,0.7737513873473918,0.8504242590896589,0.8038740920096852,0.9764705882352941,0.27358490566037735,0.10902497917413712,0.001,0.23817133903503418
25,0.3121850012246173,0.7775249722530522,0.8540541309778232,0.7909319899244333,0.9235294117647059,0.33962264150943394,0.13381418585777283,0.0005,0.23756957054138184
26,0.29017741244936746,0.7769700332963375,0.8487393268485989,0.7915690866510539,0.9941176470588236,0.16981132075471697,0.06306567788124084,0.0005,0.2370913028717041
27,0.2590545341811753,0.7850721420643728,0.8593795396263135,0.7961630695443646,0.9764705882352941,0.2358490566037736,0.07438456267118454,0.0005,0.23738503456115723
28,0.24689150356651704,0.7912319644839066,0.8628045929970063,0.8043478260869565,0.8705882352941177,0.5283018867924528,0.3493173122406006,0.0005,0.23829150199890137
29,0.2360454647111244,0.8022475027746948,0.8685050591325094,0.8044692737430168,0.8470588235294118,0.5849056603773585,0.45455223321914673,0.0005,0.23710060119628906
30,0.2365143419528494,0.7917869034406215,0.8692158385613801,0.8126649076517151,0.9058823529411765,0.4811320754716981,0.2894640564918518,0.0005,0.23747992515563965
