epoch,train_loss,val_auroc,val_auprc,val_f1,val_recall,val_specificity,val_threshold,lr,epoch_seconds
1,0.4881213725829611,0.7481132075471699,0.8238239034460293,0.8,0.9294117647058824,0.36792452830188677,0.27589210867881775,0.001,0.25434207916259766
2,0.4585049474455602,0.7755826859045505,0.8448135490579728,0.8072916666666666,0.9117647058823529,0.44339622641509435,0.4419635534286499,0.001,0.23811912536621094
3,0.4528736103959635,0.7695338512763595,0.8471943195363634,0.8067632850241546,0.9823529411764705,0.27358490566037735,0.1988023817539215,0.001,0.23868584632873535
4,0.45111049911062195,0.7750832408435071,0.8513307802203711,0.806930693069307,0.9588235294117647,0.330188679245283,0.1717400997877121,0.001,0.2370927333831787
5,0.44394359949494705,0.7784128745837959,0.8537071015592649,0.8048192771084337,0.9823529411764705,0.2641509433962264,0.2361566424369812,0.001,0.23908543586730957
6,0.4433946419465028,0.781354051054384,0.8581027641896454,0.8059701492537313,0.9529411764705882,0.33962264150943394,0.22311875224113464,0.001,0.23824596405029297
7,0.437892793946796,0.7876803551609324,0.870635913210532,0.8087167070217918,0.9823529411764705,0.2830188679245283,0.1414864957332611,0.001,0.238555908203125
8,0.4299795744370441,0.7777469478357381,0.8548298100808329,0.8076923076923077,0.9882352941176471,0.2641509433962264,0.246034175157547,0.001,0.23813700675964355
9,0.42658936079937854,0.7910654827968925,0.8612192002402839,0.8106796116504854,0.9823529411764705,0.29245283018867924,0.2842840850353241,0.001,0.23779034614562988
10,0.4281661363956339,0.7874028856825749,0.8605294945679537,0.8050632911392405,0.9352941176470588,0.37735849056603776,0.33469149470329285,0.001,0.23755788803100586
11,0.42629474028438125,0.7879023307436182,0.8618964004450264,0.8115942028985508,0.9882352941176471,0.2830188679245283,0.13024543225765228,0.001,0.23896431922912598
12,0.41942278576545977,0.7864039955604883,0.8483758005945115,0.8117359413202934,0.9764705882352941,0.3113207547169811,0.3038245141506195,0.001,0.23755717277526855
13,0.40313588998485317,0.8000554938956714,0.8749299729190029,0.8096385542168675,0.9882352941176471,0.27358490566037735,0.22373324632644653,0.001,0.23814034461975098
14,0.40475701218018995,0.7882907880133184,0.8696169342061352,0.8058968058968059,0.9647058823529412,0.3113207547169811,0.22191093862056732,0.001,0.23845338821411133
15,0.4042518686680567,0.7635960044395116,0.8570770195648217,0.7970297029702971,0.9470588235294117,0.3113207547169811,0.2814677357673645,0.001,0.23846745491027832
16,0.3971885802659318,0.7736403995560487,0.8584351204167027,0.806930693069307,0.9588235294117647,0.330188679245283,0.22876973450183868,0.001,0.23730850219726562
17,0.3876009079604462,0.7698668146503884,0.85857822354284,0.8058968058968059,0.9647058823529412,0.3113207547169811,0.21051529049873352,0.001,0.2382371425628662
18,0.37986284743090604,0.7945615982241953,0.8727088393457362,0.8089330024813896,0.9588235294117647,0.33962264150943394,0.2905872166156769,0.001,0.23782563209533691
19,0.3698557885190527,0.7713651498335183,0.8452622311093377,0.8077858880778589,0.9764705882352941,0.29245283018867924,0.1710892617702484,0.001,0.23898816108703613
20,0.35579247246253515,0.7900110987791344,0.8514564629367236,0.82,0.9647058823529412,0.37735849056603776,0.20560212433338165,0.0005,0.23807573318481445
21,0.34827061249555646,0.7747502774694784,0.8504249869483501,0.8082901554404145,0.9176470588235294,0.4339622641509434,0.3036956489086151,0.0005,0.2381434440612793
22,0.3211280589741644,0.7781908990011099,0.852835690439348,0.803921568627451,0.9647058823529412,0.3018867924528302,0.16207663714885712,0.0005,0.23742318153381348
23,0.3058694924356716,0.7642619311875694,0.8352943338444363,0.8020833333333334,0.9058823529411765,0.4339622641509434,0.27709928154945374,0.0005,0.23785662651062012
24,0.29728583798251723,0.7654827968923419,0.838027576028489,0.8082901554404145,0.9176470588235294,0.4339622641509434,0.2718634605407715,0.0005,0.23838043212890625
25,0.3002972393754929,0.7630965593784684,0.8386972712351906,0.7970297029702971,0.9470588235294117,0.3113207547169811,0.15322332084178925,0.0005,0.2378368377685547
