epoch,train_loss,val_auroc,val_auprc,val_f1,val_recall,val_specificity,val_threshold,lr,epoch_seconds
1,0.4848930824911243,0.741953385127636,0.8323870372955354,0.7887323943661971,0.9882352941176471,0.16981132075471697,0.19975769519805908,0.001,0.2754983901977539
2,0.4727057561176975,0.7422863485016649,0.8331289384307454,0.7951219512195122,0.9588235294117647,0.27358490566037735,0.26604166626930237,0.001,0.23778986930847168
3,0.47199157061490343,0.7636514983351831,0.8486647463508394,0.7933491686460807,0.9823529411764705,0.20754716981132076,0.29976096749305725,0.001,0.2369835376739502
4,0.45908249538231327,0.7685904550499445,0.8492042578374291,0.8049382716049382,0.9588235294117647,0.32075471698113206,0.24761243164539337,0.001,0.2372591495513916
5,0.45842385321787965,0.7635960044395117,0.8405420249949405,0.7951219512195122,0.9588235294117647,0.27358490566037735,0.20617058873176575,0.001,0.2368171215057373
6,0.44996953557948677,0.7701997780244173,0.8467579184217717,0.7980535279805353,0.9647058823529412,0.27358490566037735,0.16065481305122375,0.001,0.23665785789489746
7,0.44775244193552843,0.7468923418423973,0.8393414792894989,0.7970660146699267,0.9588235294117647,0.2830188679245283,0.331898957490921,0.001,0.2357769012451172
8,0.4446709277678509,0.7661487236403995,0.8494016095888051,0.801980198019802,0.9529411764705882,0.32075471698113206,0.27858442068099976,0.001,0.2362806797027588
9,0.4354301408845551,0.7810765815760266,0.854292631069062,0.8126520681265207,0.9823529411764705,0.3018867924528302,0.26012474298477173,0.001,0.23624873161315918
10,0.4260263246473542,0.7591009988901222,0.8421291275461267,0.8132992327365729,0.9352941176470588,0.41509433962264153,0.33827993273735046,0.001,0.23714399337768555
11,0.4221218002356099,0.7802441731409545,0.8581558474124424,0.8028503562945368,0.9941176470588236,0.22641509433962265,0.23947636783123016,0.001,0.23633837699890137
12,0.4147956407394539,0.7684794672586015,0.8482553170104119,0.8181818181818182,0.9529411764705882,0.39622641509433965,0.29604992270469666,0.001,0.23654890060424805
13,0.4109566049375772,0.7856270810210877,0.8590309900328157,0.8142493638676844,0.9411764705882353,0.4056603773584906,0.1994355171918869,0.001,0.2358243465423584
14,0.40544671531166887,0.781021087680355,0.8600889945308154,0.7979002624671916,0.8941176470588236,0.44339622641509435,0.3628276586532593,0.001,0.23702573776245117
15,0.3941365407572852,0.7851276359600443,0.8475102692028541,0.801980198019802,0.9529411764705882,0.32075471698113206,0.18000178039073944,0.001,0.23619818687438965
16,0.38350288485453515,0.7887347391786903,0.8527753774985316,0.8195876288659794,0.9352941176470588,0.44339622641509435,0.2738560140132904,0.001,0.23665928840637207
17,0.37208910858820354,0.7709211986681466,0.8465123751633253,0.8078817733990148,0.9647058823529412,0.32075471698113206,0.2140977829694748,0.001,0.23616456985473633
18,0.3592370379673921,0.762708102108768,0.8386127832331561,0.803921568627451,0.9647058823529412,0.3018867924528302,0.13189412653446198,0.001,0.2368638515472412
19,0.3556983810298297,0.7749167591564928,0.847873854290567,0.7989130434782609,0.8647058823529412,0.5188679245283019,0.30915865302085876,0.001,0.23593926429748535
20,0.34430807185551476,0.7293007769145394,0.8251060404341795,0.8029197080291971,0.9705882352941176,0.2830188679245283,0.17525635659694672,0.001,0.2366476058959961
21,0.307615292410191,0.7423418423973364,0.8247180799709213,0.7931873479318735,0.9588235294117647,0.2641509433962264,0.1385674923658371,0.0005,0.23624706268310547
22,0.2940083549406523,0.7583240843507215,0.8286116730112639,0.7961630695443646,0.9764705882352941,0.2358490566037736,0.16043438017368317,0.0005,0.2370133399963379
23,0.2616545899114371,0.7233074361820201,0.8173994542052385,0.7867298578199052,0.9764705882352941,0.18867924528301888,0.08643484115600586,0.0005,0.23581886291503906
24,0.24928525726811415,0.7324639289678135,0.8263193722304063,0.7804878048780488,0.9411764705882353,0.24528301886792453,0.11012063175439835,0.0005,0.23536252975463867
25,0.24227210503586835,0.7170921198668146,0.8148238155777205,0.7775175644028103,0.9764705882352941,0.14150943396226415,0.06341923028230667,0.0005,0.23565459251403809
26,0.23146603803515706,0.7255826859045506,0.8196405229123318,0.7862407862407862,0.9411764705882353,0.27358490566037735,0.08389595150947571,0.0005,0.23652076721191406
