channel_set,family,horizon,model,model_display,n_features,test_accuracy,test_auprc,test_auroc,test_balanced_accuracy,test_brier,test_f1,test_fn,test_fp,test_n,test_n_negative,test_n_positive,test_precision,test_recall_sensitivity,test_specificity,test_threshold,test_tn,test_tp,train_seconds,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_brier,val_f1,val_fn,val_fp,val_n,val_n_negative,val_n_positive,val_precision,val_recall_sensitivity,val_specificity,val_threshold,val_tn,val_tp
full,baseline,12,Dummy_StratifiedFloor,Dummy_StratifiedFloor,360,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
values,baseline,12,ExtraTrees_balanced,ExtraTrees_balanced,100,0.6594202898550725,0.8179402399390087,0.7255826859045504,0.5637069922308546,0.2023181159420289,0.7793427230046949,4,90,276,106,170,0.6484375,0.976470588235294,0.1509433962264151,0.345,16,166,0.696,0.6594202898550725,0.8227535542251552,0.7322142064372918,0.558379578246393,0.2003762454710144,0.7824074074074074,1,93,276,106,170,0.6450381679389313,0.9941176470588236,0.1226415094339622,0.345,13,169
values,baseline,12,RandomForest_balanced,RandomForest_balanced,100,0.6413043478260869,0.8143414616176953,0.7208102108768034,0.545449500554939,0.2043904891304348,0.7670588235294118,7,92,276,106,170,0.6392156862745098,0.9588235294117649,0.1320754716981132,0.3275,14,163,1.412,0.6702898550724637,0.8392448665518171,0.756992230854606,0.5743063263041066,0.1925058650362318,0.7868852459016393,2,89,276,106,170,0.6536964980544747,0.9882352941176472,0.160377358490566,0.3275,17,168
values,baseline,12,HistGradBoost,HistGradBoost,100,0.6485507246376812,0.8122769519712412,0.708157602663707,0.5850721420643729,0.2145102605240538,0.7506426735218509,24,73,276,106,170,0.6666666666666666,0.8588235294117647,0.3113207547169811,0.311872720309008,33,146,0.207,0.677536231884058,0.8283854867202014,0.7370144284128746,0.6068257491675916,0.2047910935862445,0.7769423558897243,15,74,276,106,170,0.6768558951965066,0.9117647058823528,0.3018867924528302,0.311872720309008,32,155
values,baseline,12,MLP_tabular,MLP_tabular,100,0.6992753623188406,0.7965289997218508,0.7124306326304106,0.6457824639289678,0.2227473468703614,0.7821522309711286,21,62,276,106,170,0.7061611374407583,0.8764705882352941,0.4150943396226415,0.3000558614730835,44,149,0.542,0.6884057971014492,0.7882156984550758,0.7112652608213097,0.6280799112097669,0.2191227284434771,0.7783505154639175,19,67,276,106,170,0.6926605504587156,0.888235294117647,0.3679245283018867,0.3000558614730835,39,151
values,baseline,12,LogReg_L2_balanced,LogReg_L2_balanced,100,0.6376811594202898,0.7793827367383578,0.6732519422863485,0.5336293007769145,0.227455222576065,0.7695852534562212,3,97,276,106,170,0.6325757575757576,0.9823529411764704,0.0849056603773584,0.2031091118859341,9,167,0.031,0.6485507246376812,0.747171086004452,0.6811320754716982,0.5460044395116538,0.2306517320029166,0.7759815242494227,2,95,276,106,170,0.6387832699619772,0.9882352941176472,0.1037735849056603,0.2031091118859341,11,168
values,baseline,12,Dummy_StratifiedFloor,Dummy_StratifiedFloor,100,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
values_masks,baseline,12,ExtraTrees_balanced,ExtraTrees_balanced,200,0.6739130434782609,0.8351447905698268,0.7478357380688122,0.6127635960044395,0.1969739130434782,0.7680412371134021,21,69,276,106,170,0.6834862385321101,0.8764705882352941,0.3490566037735849,0.4825,37,149,0.745,0.6920289855072463,0.8223675410988907,0.735932297447281,0.6274694783573807,0.2006187273550724,0.7837150127226463,16,69,276,106,170,0.6905829596412556,0.9058823529411764,0.3490566037735849,0.4825,37,154
values_masks,baseline,12,RandomForest_balanced,RandomForest_balanced,200,0.644927536231884,0.8248725446060381,0.727857935627081,0.5625971143174251,0.2020220561594203,0.7609756097560976,14,84,276,106,170,0.65,0.9176470588235294,0.2075471698113207,0.39,22,156,1.256,0.6739130434782609,0.8310918030224295,0.74661487236404,0.586126526082131,0.1956665760869565,0.784688995215311,6,84,276,106,170,0.6612903225806451,0.9647058823529412,0.2075471698113207,0.39,22,164
values_masks,baseline,12,HistGradBoost,HistGradBoost,200,0.6521739130434783,0.8227756551956278,0.7223085460599334,0.5524972253052164,0.209279077964655,0.7767441860465116,3,93,276,106,170,0.6423076923076924,0.9823529411764704,0.1226415094339622,0.2137935691711107,13,167,0.312,0.6666666666666666,0.8233608469504572,0.7354605993340733,0.5731409544950056,0.2060229083611682,0.7830188679245284,4,88,276,106,170,0.6535433070866141,0.976470588235294,0.1698113207547169,0.2137935691711107,18,166
